Drug,CYP***,Action,Species,Database,DrugID,Gene,Reference,Strength
Isoprenaline,CYP1A1,inhibitor,Not Specified,DrugBank,DB01064,,,
Ouabain,CYP1A1,inhibitor,Not Specified,DrugBank,DB01092,,,
Nifedipine,CYP1A1,inhibitor,Not Specified,DrugBank,DB01115,,,
Arsenic trioxide,CYP1A1,inhibitor,Not Specified,DrugBank,DB01169,,,
Mibefradil,CYP1A1,inhibitor,Not Specified,DrugBank,DB01388,,,
Omeprazole,CYP1A1,inducer,Not Specified,DrugBank,DB00338,,,
Clozapine,CYP1A1,inducer,Not Specified,DrugBank,DB00363,,,
Streptozocin,CYP1A1,inducer,Not Specified,DrugBank,DB00428,,,
Lansoprazole,CYP1A1,inducer,Not Specified,DrugBank,DB00448,,,
Picrotoxin,CYP1A1,inducer,Not Specified,DrugBank,DB00466,,,
Albendazole,CYP1A1,inducer,Not Specified,DrugBank,DB00518,,,
Clofibrate,CYP1A1,inducer,Not Specified,DrugBank,DB00636,,,
Mebendazole,CYP1A1,inducer,Not Specified,DrugBank,DB00643,,,
Fluorescein,CYP1A1,inducer,Not Specified,DrugBank,DB00693,,,
Thiabendazole,CYP1A1,inducer,Not Specified,DrugBank,DB00730,,,
Dicyclomine,CYP1A1,inducer,Not Specified,DrugBank,DB00804,,,
Clomifene,CYP1A1,inducer,Not Specified,DrugBank,DB00882,,,
Primaquine,CYP1A1,inducer,Not Specified,DrugBank,DB01087,,,
Rabeprazole,CYP1A1,inducer,Not Specified,DrugBank,DB01129,,,
Itraconazole,CYP1A1,inducer,Not Specified,DrugBank,DB01167,,,
Phenobarbital,CYP1A1,inducer,Not Specified,DrugBank,DB01174,,,
Bezafibrate,CYP1A1,inducer,Not Specified,DrugBank,DB01393,,,
2-(4-chlorphenoxy)-ethanol , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Acriflavinium chloride , CYP1A1,substrate ,human ,SuperCYP,,,,
Albendazole , CYP1A1,inducer ,human ,SuperCYP,,,,
Alum , CYP1A1,substrate ,human ,SuperCYP,,,,
Alum , CYP1A1,inducer ,human ,SuperCYP,,,,
Amiloride , CYP1A1,inhibitor ,rat ,SuperCYP,,,,
Amiodarone , CYP1A1,substrate ,human ,SuperCYP,,,,
Amlodipine , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Amodiaquine , CYP1A1,substrate ,human ,SuperCYP,,,,
Arsenic trioxide , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Arsenic trioxide , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Ascorbic acid , CYP1A1,inducer ,,SuperCYP,,,,
Ascorbic acid (vit C) , CYP1A1,inducer ,,SuperCYP,,,,
atazanavir , CYP1A1,inhibitor ,,SuperCYP,,,,
Benidipine , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Benoxaprofen , CYP1A1,inducer ,rat ,SuperCYP,,,,
Benzydamine , CYP1A1,substrate ,human ,SuperCYP,,,,
Betacarotene , CYP1A1,inducer ,human ,SuperCYP,,,,
Betacarotene , CYP1A1,inducer ,human ,SuperCYP,,,,
Bezafibrate , CYP1A1,inducer ,human ,SuperCYP,,,,
Bortezomib , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Caffeine , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Capsaicin , CYP1A1,substrate ,human ,SuperCYP,,,,
Capsaicin , CYP1A1,substrate ,human ,SuperCYP,,,,
Chinin , CYP1A1,inducer ,human ,SuperCYP,,,,
Chinin , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Chloroquine , CYP1A1,substrate ,human ,SuperCYP,,,,
Chlorothiazide , CYP1A1,inducer ,rat ,SuperCYP,,,,
Chlorpromazine , CYP1A1,inducer ,,SuperCYP,,,,
Cinnarizin , CYP1A1,substrate ,human ,SuperCYP,,,,
Cinnarizine , CYP1A1,substrate ,human ,SuperCYP,,,,
Clenbuterol , CYP1A1,substrate ,human ,SuperCYP,,,,
Clobetasol , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Clofibrate , CYP1A1,inducer ,human ,SuperCYP,,,,
Clofibrate , CYP1A1,inducer ,human ,SuperCYP,,,,
Clomifene , CYP1A1,inducer ,human ,SuperCYP,,,,
Clozapine , CYP1A1,inducer ,human ,SuperCYP,,,,
Cocaine , CYP1A1,inducer ,,SuperCYP,,,,
Colchicine , CYP1A1,inhibitor ,rat ,SuperCYP,,,,
Colecalciferol , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Colecalciferol , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Dacarbazine , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Dacarbazine , CYP1A1,substrate ,human ,SuperCYP,,,,
Dacarbazine , CYP1A1,substrate ,human ,SuperCYP,,,,
Dactinomycin , CYP1A1,inhibitor ,rabbit ,SuperCYP,,,,
Dantrolene , CYP1A1,inhibitor ,rat ,SuperCYP,,,,
Daunorubicin , CYP1A1,substrate ,human ,SuperCYP,,,,
Debrisoquine , CYP1A1,substrate ,human ,SuperCYP,,,,
Debrisoquine , CYP1A1,substrate ,human ,SuperCYP,,,,
Decamethrin , CYP1A1,substrate ,rat ,SuperCYP,,,,
Deferoxamine , CYP1A1,inhibitor ,mouse ,SuperCYP,,,,
Dexamethason , CYP1A1,inducer ,human ,SuperCYP,,,,
Dexamethasone , CYP1A1,inducer ,human ,SuperCYP,,,,
Diclofenac , CYP1A1,substrate ,human ,SuperCYP,,,,
Dicycloverin , CYP1A1,inducer ,human ,SuperCYP,,,,
Dicycloverine , CYP1A1,inducer ,human ,SuperCYP,,,,
Diethylstilbestrol , CYP1A1,inducer ,rat ,SuperCYP,,,,
Diosmectite , CYP1A1,inducer ,human ,SuperCYP,,,,
Diosmectite , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Diosmectite , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Diosmin , CYP1A1,inducer ,human ,SuperCYP,,,,
Diosmin , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Diosmin , CYP1A1,inducer ,human ,SuperCYP,,,,
Diosmin , CYP1A1,inducer ,human ,SuperCYP,,,,
Doxorubicin , CYP1A1,inducer ,,SuperCYP,,,,
Dronabinol , CYP1A1,substrate ,human ,SuperCYP,,,,
Enoxacin , CYP1A1,inducer ,rat ,SuperCYP,,,,
Ergometrine , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Erythromycin , CYP1A1,substrate ,,SuperCYP,,,,
Estradiol , CYP1A1,substrate ,human ,SuperCYP,,,,
Estradiol , CYP1A1,substrate ,human ,SuperCYP,,,,
Estriol , CYP1A1,inducer ,,SuperCYP,,,,
Estriol , CYP1A1,inhibitor ,rainbow trout ,SuperCYP,,,,
Estrone , CYP1A1,substrate ,human ,SuperCYP,,,,
Estrone , CYP1A1,substrate ,human ,SuperCYP,,,,
Etacrynic acid , CYP1A1,substrate ,human ,SuperCYP,,,,
Ethanol , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Ethinylestradiol , CYP1A1,substrate ,human ,SuperCYP,,,,
Fluconazole , CYP1A1,inducer ,,SuperCYP,,,,
Flunarizine , CYP1A1,substrate ,human ,SuperCYP,,,,
Fluorescein , CYP1A1,inducer ,human ,SuperCYP,,,,
Flutamide , CYP1A1,substrate ,human ,SuperCYP,,,,
Fluvastatin , CYP1A1,substrate ,human ,SuperCYP,,,,
Fluvastatin , CYP1A1,inducer ,rat ,SuperCYP,,,,
Fluvoxamine , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Fluvoxamine , CYP1A1,inhibitor ,human ,SuperCYP,,,,
G-strophanthin , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Granisetron , CYP1A1,substrate ,human ,SuperCYP,,,,
Granisetron , CYP1A1,substrate ,human ,SuperCYP,,,,
Haloperidol , CYP1A1,substrate ,human ,SuperCYP,,,,
Histamine , CYP1A1,inducer ,,SuperCYP,,,,
Ipriflavone , CYP1A1,substrate ,rat ,SuperCYP,,,,
Isoprenalin , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Isoprenaline , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Itraconazole , CYP1A1,inducer ,human ,SuperCYP,,,,
Ketoconazole , CYP1A1,inducer ,human ,SuperCYP,,,,
Ketoconazole , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Ketoconazole , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Lansoprazole , CYP1A1,inducer ,human ,SuperCYP,,,,
Lentinan , CYP1A1,inhibitor ,mouse ,SuperCYP,,,,
Levothyroxine sodium , CYP1A1,substrate ,human ,SuperCYP,,,,
Lindane , CYP1A1,inducer ,rat ,SuperCYP,,,,
Mebendazole , CYP1A1,inducer ,human ,SuperCYP,,,,
Mecamylamine , CYP1A1,inducer ,rat ,SuperCYP,,,,
Melatonin , CYP1A1,substrate ,human ,SuperCYP,,,,
Menadione , CYP1A1,substrate ,human ,SuperCYP,,,,
Mercaptopurine , CYP1A1,substrate ,human ,SuperCYP,,,,
"Mercury, metallic ", CYP1A1,inducer ,shark ,SuperCYP,,,,
Methoxsalen , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Mibefradil , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Mitobronitol , CYP1A1,inducer ,human ,SuperCYP,,,,
Moracizine , CYP1A1,inhibitor ,mouse ,SuperCYP,,,,
Nicotine , CYP1A1,inducer ,human ,SuperCYP,,,,
Nicotine , CYP1A1,substrate ,human ,SuperCYP,,,,
Nicotine , CYP1A1,inducer ,human ,SuperCYP,,,,
Nifedipine , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Nitrofurantoin , CYP1A1,substrate ,,SuperCYP,,,,
Nitroprusside , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Norfloxacin , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Omeprazole , CYP1A1,substrate ,,SuperCYP,,,,
Omeprazole , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Omeprazole , CYP1A1,inducer ,human ,SuperCYP,,,,
Omeprazole , CYP1A1,inducer ,human ,SuperCYP,,,,
Omeprazole , CYP1A1,inducer ,human ,SuperCYP,,,,
Oxaliplatin , CYP1A1,substrate ,human ,SuperCYP,,,,
Paracetamol , CYP1A1,substrate ,human ,SuperCYP,,,,
Perazine , CYP1A1,substrate ,human ,SuperCYP,,,,
Phenacetin , CYP1A1,substrate ,human ,SuperCYP,,,,
Phenobarbital , CYP1A1,inducer ,,SuperCYP,,,,
Pipamperone , CYP1A1,inducer ,human ,SuperCYP,,,,
Prasterone , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Prasterone , CYP1A1,inhibitor ,rat ,SuperCYP,,,,
Prazosin , CYP1A1,substrate ,human ,SuperCYP,,,,
Prednisone , CYP1A1,inducer ,,SuperCYP,,,,
Primaquine , CYP1A1,inducer ,human ,SuperCYP,,,,
Primaquine , CYP1A1,inducer ,human ,SuperCYP,,,,
Procarbazine , CYP1A1,substrate ,rat ,SuperCYP,,,,
Progesterone , CYP1A1,substrate ,human ,SuperCYP,,,,
Propofol , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Propranolol , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Propylthiouracil , CYP1A1,inducer ,zebrafish ,SuperCYP,,,,
Pyridoxine (vit B6) , CYP1A1,inducer ,,SuperCYP,,,,
Quassia , CYP1A1,inhibitor ,,SuperCYP,,,,
Quinidine , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Quinine , CYP1A1,inducer ,human ,SuperCYP,,,,
Quinine , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Rabeprazole , CYP1A1,inducer ,human ,SuperCYP,,,,
Rabeprazole , CYP1A1,inducer ,human ,SuperCYP,,,,
raltegravir , CYP1A1,substrate ,,SuperCYP,,,,
retigabine , CYP1A1,substrate ,,SuperCYP,,,,
Retinol , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Retinol , CYP1A1,inducer ,human ,SuperCYP,,,,
Retinol (vit A) , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Retinol (vit A) , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Riboflavin (vit B2) , CYP1A1,substrate ,human ,SuperCYP,,,,
Rifampicin , CYP1A1,inducer ,,SuperCYP,,,,
Riluzole , CYP1A1,substrate ,human ,SuperCYP,,,,
Salicylamide , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Sildenafil , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Streptozocin , CYP1A1,inducer ,rat ,SuperCYP,,,,
Sulindac , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Tamoxifen , CYP1A1,substrate ,human ,SuperCYP,,,,
Testosterone , CYP1A1,substrate ,human ,SuperCYP,,,,
Tetrabenazine , CYP1A1,inducer ,rat ,SuperCYP,,,,
Thalidomide , CYP1A1,inducer ,,SuperCYP,,,,
Theophylline , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Theophylline , CYP1A1,substrate ,human ,SuperCYP,,,,
Tiabendazole , CYP1A1,inducer ,human ,SuperCYP,,,,
Tiabendazole , CYP1A1,inducer ,human ,SuperCYP,,,,
Ticlopidine , CYP1A1,inhibitor ,human ,SuperCYP,,,,
Tocainide , CYP1A1,inhibitor ,rat ,SuperCYP,,,,
Toremifene , CYP1A1,substrate ,human ,SuperCYP,,,,
Triclosan , CYP1A1,inhibitor ,,SuperCYP,,,,
Troglitazone , CYP1A1,substrate ,human ,SuperCYP,,,,
Tryptophan , CYP1A1,inducer ,mouse ,SuperCYP,,,,
Zotepine , CYP1A1,substrate ,human ,SuperCYP,,,,
Methoxsalen (JP17/USP), CYP1A1, substrate, Not Specified, KEGG, , , , 
Ramosetron (INN), CYP1A1, substrate, Not Specified, KEGG, , , , 
Ramosetron hydrochloride (JAN), CYP1A1, substrate, Not Specified, KEGG, , , , 
Istradefylline (JAN/USAN/INN), CYP1A1, substrate, Not Specified, KEGG, , , , 
Acotiamide hydrochloride (USAN), CYP1A1, substrate, Not Specified, KEGG, , , , 
Riociguat (JAN/INN), CYP1A1, substrate, Not Specified, KEGG, , , , 
Delamanid (JAN/USAN), CYP1A1, substrate, Not Specified, KEGG, , , , 
Anagrelide (INN/BAN), CYP1A1, substrate, Not Specified, KEGG, , , , 
Anagrelide hydrochloride (USAN), CYP1A1, substrate, Not Specified, KEGG, , , , 
Anagrelide hydrochloride hydrate (JAN), CYP1A1, substrate, Not Specified, KEGG, , , , 
Insulin Regular,CYP1A2,inducer,Not Specified,DrugBank,DB00030,,,
Insulin Lispro,CYP1A2,inducer,Not Specified,DrugBank,DB00046,,,
Insulin Glargine,CYP1A2,inducer,Not Specified,DrugBank,DB00047,,,
"Insulin, porcine",CYP1A2,inducer,Not Specified,DrugBank,DB00071,,,
Menadione,CYP1A2,"substrate, inducer",Not Specified,DrugBank,DB00170,,,
Fluvoxamine,CYP1A2,"substrate, inhibitor",Not Specified,DrugBank,DB00176,,,
Nicotine,CYP1A2,"substrate, inducer",Not Specified,DrugBank,DB00184,,,
Bortezomib,CYP1A2,"substrate, inhibitor",Not Specified,DrugBank,DB00188,,,
Phentermine,CYP1A2,inhibitor,Not Specified,DrugBank,DB00191,,,
Betaxolol,CYP1A2,substrate,Not Specified,DrugBank,DB00195,,,
Erythromycin,CYP1A2,inhibitor,Not Specified,DrugBank,DB00199,,,
Caffeine,CYP1A2,"substrate, inhibitor",Not Specified,DrugBank,DB00201,,,
Azithromycin,CYP1A2,inhibitor,Not Specified,DrugBank,DB00207,,,
Ticlopidine,CYP1A2,inhibitor,Not Specified,DrugBank,DB00208,,,
Pantoprazole,CYP1A2,"substrate, inducer",Not Specified,DrugBank,DB00213,,,
Citalopram,CYP1A2,inhibitor,Not Specified,DrugBank,DB00215,,,
Nelfinavir,CYP1A2,inhibitor,Not Specified,DrugBank,DB00220,,,
Nevirapine,CYP1A2,inhibitor,Not Specified,DrugBank,DB00238,,,
Ziprasidone,CYP1A2,substrate,Not Specified,DrugBank,DB00246,,,
Clotrimazole,CYP1A2,inhibitor,Not Specified,DrugBank,DB00257,,,
Anagrelide,CYP1A2,substrate,Not Specified,DrugBank,DB00261,,,
Carmustine,CYP1A2,substrate,Not Specified,DrugBank,DB00262,,,
Ropinirole,CYP1A2,"substrate, inhibitor",Not Specified,DrugBank,DB00268,,,
Theophylline,CYP1A2,"substrate, inhibitor",Not Specified,DrugBank,DB00277,,,
Lidocaine,CYP1A2,"substrate, inhibitor",Not Specified,DrugBank,DB00281,,,
Conjugated Estrogens,CYP1A2,substrate,Not Specified,DrugBank,DB00286,,,
Ropivacaine,CYP1A2,substrate,Not Specified,DrugBank,DB00296,,,
Bupivacaine,CYP1A2,substrate,Not Specified,DrugBank,DB00297,,,
Tenofovir,CYP1A2,inhibitor,Not Specified,DrugBank,DB00300,,,
Valproic Acid,CYP1A2,inhibitor,Not Specified,DrugBank,DB00313,,,
Zolmitriptan,CYP1A2,substrate,Not Specified,DrugBank,DB00315,,,
Acetaminophen,CYP1A2,substrate,Not Specified,DrugBank,DB00316,,,
Amitriptyline,CYP1A2,substrate,Not Specified,DrugBank,DB00321,,,
Nitroprusside,CYP1A2,inhibitor,Not Specified,DrugBank,DB00325,,,
Methadone,CYP1A2,substrate,Not Specified,DrugBank,DB00333,,,
Olanzapine,CYP1A2,substrate,Not Specified,DrugBank,DB00334,,,
Omeprazole,CYP1A2,"substrate, inhibitor, inducer",Not Specified,DrugBank,DB00338,,,
Pyrazinamide,CYP1A2,substrate,Not Specified,DrugBank,DB00339,,,
Chlorzoxazone,CYP1A2,substrate,Not Specified,DrugBank,DB00356,,,
Aminoglutethimide,CYP1A2,inducer,Not Specified,DrugBank,DB00357,,,
Clozapine,CYP1A2,"substrate, inhibitor",Not Specified,DrugBank,DB00363,,,
Grepafloxacin,CYP1A2,substrate,Not Specified,DrugBank,DB00365,,,
Norepinephrine,CYP1A2,inhibitor,Not Specified,DrugBank,DB00368,,,
Mirtazapine,CYP1A2,substrate,Not Specified,DrugBank,DB00370,,,
Palonosetron,CYP1A2,substrate,Not Specified,DrugBank,DB00377,,,
Mexiletine,CYP1A2,"substrate, inhibitor",Not Specified,DrugBank,DB00379,,,
Amlodipine,CYP1A2,inhibitor,Not Specified,DrugBank,DB00381,,,
Tacrine,CYP1A2,substrate,Not Specified,DrugBank,DB00382,,,
Triamterene,CYP1A2,"substrate, inhibitor",Not Specified,DrugBank,DB00384,,,
Phenylephrine,CYP1A2,inducer,Not Specified,DrugBank,DB00388,,,
Progesterone,CYP1A2,substrate,Not Specified,DrugBank,DB00396,,,
Phenylpropanolamine,CYP1A2,inhibitor,Not Specified,DrugBank,DB00397,,,
Sorafenib,CYP1A2,inhibitor,Not Specified,DrugBank,DB00398,,,
Griseofulvin,CYP1A2,inducer,Not Specified,DrugBank,DB00400,,,
Nisoldipine,CYP1A2,inhibitor,Not Specified,DrugBank,DB00401,,,
Rosiglitazone,CYP1A2,inhibitor,Not Specified,DrugBank,DB00412,,,
Secobarbital,CYP1A2,inducer,Not Specified,DrugBank,DB00418,,,
Promazine,CYP1A2,substrate,Not Specified,DrugBank,DB00420,,,
Zolpidem,CYP1A2,substrate,Not Specified,DrugBank,DB00425,,,
Streptozocin,CYP1A2,inducer,Not Specified,DrugBank,DB00428,,,
Nitric Oxide,CYP1A2,substrate,Not Specified,DrugBank,DB00435,,,
Lansoprazole,CYP1A2,inducer,Not Specified,DrugBank,DB00448,,,
Imipramine,CYP1A2,"substrate, inhibitor",Not Specified,DrugBank,DB00458,,,
Nabumetone,CYP1A2,substrate,Not Specified,DrugBank,DB00461,,,
Enoxacin,CYP1A2,inhibitor,Not Specified,DrugBank,DB00467,,,
Quinine,CYP1A2,"substrate, inhibitor, inducer",Not Specified,DrugBank,DB00468,,,
Fluoxetine,CYP1A2,"substrate, inhibitor",Not Specified,DrugBank,DB00472,,,
Duloxetine,CYP1A2,substrate,Not Specified,DrugBank,DB00476,,,
Chlorpromazine,CYP1A2,substrate,Not Specified,DrugBank,DB00477,,,
Pefloxacin,CYP1A2,inhibitor,Not Specified,DrugBank,DB00487,,,
Flutamide,CYP1A2,"substrate, inhibitor",Not Specified,DrugBank,DB00499,,,
Cimetidine,CYP1A2,inhibitor,Not Specified,DrugBank,DB00501,,,
Haloperidol,CYP1A2,substrate,Not Specified,DrugBank,DB00502,,,
Ritonavir,CYP1A2,"substrate, inducer",Not Specified,DrugBank,DB00503,,,
Albendazole,CYP1A2,"substrate, inhibitor, inducer",Not Specified,DrugBank,DB00518,,,
Alitretinoin,CYP1A2,inhibitor,Not Specified,DrugBank,DB00523,,,
Oxaliplatin,CYP1A2,substrate,Not Specified,DrugBank,DB00526,,,
Erlotinib,CYP1A2,substrate,Not Specified,DrugBank,DB00530,,,
Mephenytoin,CYP1A2,substrate,Not Specified,DrugBank,DB00532,,,
Rofecoxib,CYP1A2,"substrate, inhibitor",Not Specified,DrugBank,DB00533,,,
Ciprofloxacin,CYP1A2,inhibitor,Not Specified,DrugBank,DB00537,,,
Toremifene,CYP1A2,substrate,Not Specified,DrugBank,DB00539,,,
Nortriptyline,CYP1A2,substrate,Not Specified,DrugBank,DB00540,,,
Fluorouracil,CYP1A2,substrate,Not Specified,DrugBank,DB00544,,,
Zafirlukast,CYP1A2,inhibitor,Not Specified,DrugBank,DB00549,,,
Methoxsalen,CYP1A2,inhibitor,Not Specified,DrugBank,DB00553,,,
Carbamazepine,CYP1A2,"substrate, inhibitor, inducer",Not Specified,DrugBank,DB00564,,,
Cinnarizine,CYP1A2,substrate,Not Specified,DrugBank,DB00568,,,
Propranolol,CYP1A2,"substrate, inhibitor",Not Specified,DrugBank,DB00571,,,
Atropine,CYP1A2,inhibitor,Not Specified,DrugBank,DB00572,,,
Clonidine,CYP1A2,substrate,Not Specified,DrugBank,DB00575,,,
Diclofenac,CYP1A2,"substrate, inhibitor",Not Specified,DrugBank,DB00586,,,
Cisapride,CYP1A2,substrate,Not Specified,DrugBank,DB00604,,,
Sulindac,CYP1A2,inhibitor,Not Specified,DrugBank,DB00605,,,
Nafcillin,CYP1A2,inducer,Not Specified,DrugBank,DB00607,,,
Rifabutin,CYP1A2,substrate,Not Specified,DrugBank,DB00615,,,
